81,81,81,-81,1584,-522
129,129,129,267,1999,-237
-696,-696,-696,598,1999,442
-1917,-1917,-1917,721,1999,764
-2000,-2000,-2000,932,1999,1489
-2000,-2000,-2000,1345,1999,1999
-2000,-2000,-2000,1291,1627,1999
-1492,-1492,-1492,623,172,1999
-409,-409,-409,309,6,1349
221,221,221,347,-1756,1991
940,940,940,172,-2000,1715
1422,1422,1422,-71,-1342,1999
-120,-120,-120,-330,-195,1999
-1755,-1755,-1755,-762,514,1999
-2000,-2000,-2000,-1102,799,1999
-2000,-2000,-2000,-1095,1219,1999
-2000,-2000,-2000,-967,1818,1626
-1181,-1181,-1181,-674,1999,706
-675,-675,-675,-381,1999,648
-564,-564,-564,-328,1999,-385
-219,-219,-219,163,1999,-252
-1561,-1561,-1561,763,1999,1163
-2000,-2000,-2000,860,149,1736
-2000,-2000,-2000,1035,-1067,1999
-804,-804,-804,178,-1469,1242
357,357,357,-24,-1424,-217
145,145,145,177,-1177,-92
203,203,203,140,-753,374
778,778,778,-70,-417,533
444,444,444,-324,-202,273
-695,-695,-695,-294,-760,1046
-1062,-1062,-1062,-209,-990,1762
-961,-961,-961,-295,84,1218
-685,-685,-685,-387,703,441
-311,-311,-311,-340,1624,-33
-155,-155,-155,-182,1999,-356
-333,-333,-333,64,1999,-431
-1469,-1469,-1469,569,1999,453
-1943,-1943,-1943,888,1999,1306
-2000,-2000,-2000,1024,1999,1999
-2000,-2000,-2000,807,-276,1999
-897,-897,-897,309,-571,1021
36,36,36,265,-1351,699
-266,-266,-266,308,-2000,862
357,357,357,149,-2000,1145
21,21,21,-61,-1246,1999
-1768,-1768,-1768,-419,-187,1999
-2000,-2000,-2000,-878,402,1999
-2000,-2000,-2000,-909,735,1999
-2000,-2000,-2000,-753,1548,1571
-1132,-1132,-1132,-620,1999,868
-500,-500,-500,-468,1999,67
-64,-64,-64,-211,1999,-1055
-623,-623,-623,506,1999,-473
-2000,-2000,-2000,1218,1999,1951
-2000,-2000,-2000,1237,1999,1999
-2000,-2000,-2000,1146,1815,1999
-1988,-1988,-1988,290,-334,1580
-569,-569,-569,268,-1364,474
-283,-283,-283,739,-2000,1999
396,396,396,-32,-2000,1697
-857,-857,-857,-323,-968,1999
-2000,-2000,-2000,-655,515,1999
-2000,-2000,-2000,-1002,1016,1999
-2000,-2000,-2000,-924,1662,1999
-2000,-2000,-2000,-874,1999,1456
-828,-828,-828,-689,1999,454
-78,-78,-78,-488,1999,-798
116,116,116,-2,1999,-1437
-1366,-1366,-1366,892,1999,66
-2000,-2000,-2000,1600,1999,1999
-2000,-2000,-2000,1042,1999,1999
-2000,-2000,-2000,965,698,1999
-734,-734,-734,271,418,841
273,273,273,596,-1526,1999
-358,-358,-358,390,-2000,1999
-255,-255,-255,-521,-2000,965
-1832,-1832,-1832,-164,-364,1999
-1588,-1588,-1588,-613,495,1999
-2000,-2000,-2000,-836,1091,1999
-2000,-2000,-2000,-973,1999,1999
-2000,-2000,-2000,-967,1999,1619
-1251,-1251,-1251,-672,1999,234
-49,-49,-49,-338,1999,-1150
91,91,91,-38,1999,-1820
-1311,-1311,-1311,497,1999,-379
-2000,-2000,-2000,1493,1999,1724
-2000,-2000,-2000,1443,1999,1999
-2000,-2000,-2000,931,1572,1999
-1311,-1311,-1311,406,378,1724
-85,-85,-85,448,-1269,1949
362,362,362,450,-2000,1999
-134,-134,-134,-277,-2000,1572
-1257,-1257,-1257,-232,-575,1999
-1651,-1651,-1651,-691,692,1999
-2000,-2000,-2000,-1147,1075,1999
-2000,-2000,-2000,-1145,1787,1999
-2000,-2000,-2000,-911,1999,1363
-490,-490,-490,-563,1999,-337
455,455,455,-168,1999,-1109
-307,-307,-307,102,1999,-1886
-1834,-1834,-1834,1131,1999,849
-2000,-2000,-2000,1851,1999,1999
-2000,-2000,-2000,1133,1999,1999
-1408,-1408,-1408,610,477,1999
-562,-562,-562,324,-457,880
-393,-393,-393,671,-1773,1999
-178,-178,-178,81,-1971,1999
-1104,-1104,-1104,-609,-848,1999
-1853,-1853,-1853,-554,681,1999
-2000,-2000,-2000,-977,1417,1999
-2000,-2000,-2000,-1149,1999,1999
-2000,-2000,-2000,-1119,1999,1999
-1091,-1091,-1091,-899,1999,14
81,81,81,-603,1999,-1576
69,69,69,264,1999,-1682
-1544,-1544,-1544,948,1999,-271
-2000,-2000,-2000,1851,1999,1999
-2000,-2000,-2000,1706,1999,1999
-2000,-2000,-2000,768,1441,1999
-845,-845,-845,297,545,954
-709,-709,-709,555,-1096,1999
-198,-198,-198,222,-2000,1999
-71,-71,-71,-508,-1553,1999
-1292,-1292,-1292,-403,336,1999
-1861,-1861,-1861,-1030,1337,1999
-2000,-2000,-2000,-1222,1857,1999
-2000,-2000,-2000,-1194,1999,1999
-1834,-1834,-1834,-1006,1999,837
-286,-286,-286,-639,1999,-1256
692,692,692,139,1999,-1303
-439,-439,-439,426,1999,-1182
-2000,-2000,-2000,1294,1999,857
-2000,-2000,-2000,1912,1999,1999
-2000,-2000,-2000,1322,1999,1999
-1208,-1208,-1208,456,980,1999
-589,-589,-589,298,-153,1231
-1020,-1020,-1020,625,-1627,1999
199,199,199,-111,-1898,1999
-1589,-1589,-1589,-518,-160,1999
-1769,-1769,-1769,-692,1166,1999
-2000,-2000,-2000,-1053,1620,1999
-2000,-2000,-2000,-1130,1999,1999
-2000,-2000,-2000,-1231,1999,1502
-1063,-1063,-1063,-884,1999,-612
626,626,626,-203,1999,-1793
55,55,55,338,1999,-1590
-2000,-2000,-2000,1014,1999,593
-2000,-2000,-2000,1917,1999,1999
-2000,-2000,-2000,1518,1999,1999
-1185,-1185,-1185,534,1139,1999
-526,-526,-526,285,165,1413
-85,-85,-85,556,-1373,1999
-246,-246,-246,-111,-2000,1591
-538,-538,-538,-555,-1721,1835
-1526,-1526,-1526,-347,169,1999
-1453,-1453,-1453,-934,1544,1999
-2000,-2000,-2000,-1347,1966,1999
-2000,-2000,-2000,-1157,1999,1999
-1515,-1515,-1515,-941,1999,810
-129,-129,-129,-573,1999,-961
640,640,640,65,1999,-1916
-1330,-1330,-1330,714,1999,-956
-2000,-2000,-2000,1834,-2000,1756
-2000,-2000,-2000,1931,1999,1999
-1838,-1838,-1838,758,1999,1999
-870,-870,-870,219,444,1305
-628,-628,-628,348,-1523,1863
892,892,892,460,-2000,1999
305,305,305,-514,-1271,1999
-1762,-1762,-1762,-717,594,1999
-1731,-1731,-1731,-1128,1595,1999
-2000,-2000,-2000,-1248,1999,1999
-2000,-2000,-2000,-1264,1999,1999
-1269,-1269,-1269,-1047,1999,393
-90,-90,-90,-533,1999,-1223
339,339,339,4,1999,-2000
-1364,-1364,-1364,790,1999,-355
-2000,-2000,-2000,1898,1999,1917
-2000,-2000,-2000,1917,1999,1999
-485,-485,-485,1057,1849,1999
-756,-756,-756,183,616,1161
229,229,229,380,-971,1999
626,626,626,411,-2000,1999
-803,-803,-803,-505,-1981,1999
-1795,-1795,-1795,-418,624,1999
-1248,-1248,-1248,-888,1480,1999
-2000,-2000,-2000,-1209,1915,1999
-2000,-2000,-2000,-1252,1999,1999
-1784,-1784,-1784,-1124,1999,707
-434,-434,-434,-716,1999,-1379
202,202,202,246,1999,-1769
-1064,-1064,-1064,922,1999,-487
-2000,-2000,-2000,1643,1999,1913
-2000,-2000,-2000,1419,1999,1999
-2000,-2000,-2000,1673,1999,1999
-451,-451,-451,733,807,1999
4,4,4,-44,-841,1037
348,348,348,716,-1759,1999
-84,-84,-84,-534,-2000,1928
-1725,-1725,-1725,-629,-98,1999
-1364,-1364,-1364,-850,1213,1999
-2000,-2000,-2000,-1202,1870,1999
-2000,-2000,-2000,-1255,1999,1999
-1867,-1867,-1867,-1031,1999,938
-203,-203,-203,-582,1999,-1038
648,648,648,110,1999,-1764
-1231,-1231,-1231,513,1999,-686
-2000,-2000,-2000,1658,1999,1499
-2000,-2000,-2000,1972,1999,1999
-1053,-1053,-1053,1185,1971,1999
-894,-894,-894,36,487,1211
62,62,62,284,-1309,1666
8,8,8,519,-2000,1999
175,175,175,-413,-1851,1999
-1329,-1329,-1329,-430,317,1999
-1336,-1336,-1336,-848,1140,1999
-2000,-2000,-2000,-1206,1496,1999
-2000,-2000,-2000,-1231,1999,1999
-1555,-1555,-1555,-958,1999,242
-533,-533,-533,-554,1999,-1090
609,609,609,148,1999,-1481
-1091,-1091,-1091,606,1999,-446
-1823,-1823,-1823,1636,1999,1618
